CATEGORIA,TRIADE,PESO
ABASTECIMENTO (MELHORIA),seguranca;hidrica;modernizacao,0.98
QUALIDADE DA AGUA,agua;barro;poco,0.96
QUALIDADE DA AGUA,reclamacao;agua;impropria,0.94
QUALIDADE DA AGUA,poco;artesiano;contaminacao,0.92
QUALIDADE DA AGUA,cheiro;forte;agua,0.90
QUALIDADE DA AGUA,gosto;estranho;agua,0.88
QUALIDADE DA AGUA,tubulacao;contaminada;manutencao,0.86
QUALIDADE DA AGUA,abastecimento;agua;contaminada,0.84

RELACIONAMENTO COM CLIENTE,atendimento;cliente;servico,0.98
RELACIONAMENTO COM CLIENTE,canal;atendimento;usuario,0.96
RELACIONAMENTO COM CLIENTE,orientacao;usuario;abastecimento,0.94
RELACIONAMENTO COM CLIENTE,comunicacao;cliente;informacao,0.92
RELACIONAMENTO COM CLIENTE,reclamacao;cliente;atendimento,0.9
RELACIONAMENTO COM CLIENTE,ouvidoria;atendimento;usuario,0.88
RELACIONAMENTO COM CLIENTE,esclarecimento;moradores;servico,0.86
RELACIONAMENTO COM CLIENTE,informacao;consumidor;abastecimento,0.84

SAUDE,saneamento;saude;publica,0.98
SAUDE,prevencao;saude;publica,0.95
SAUDE,qualidade;agua;saude,0.9
SAUDE,saude;populacao;agua,0.85
SAUDE,bem;estar;saude,0.8

SERVICOS,manutencao;rede;abastecimento,0.98
SERVICOS,servico;operacional;sistema,0.95
SERVICOS,manutencao;preventiva;rede,0.93
SERVICOS,execucao;servico;tecnico,0.91
SERVICOS,operacao;abastecimento;rotina,0.89
SERVICOS,limpeza;rede;esgoto,0.87
SERVICOS,manutencao;programada;sistema,0.85
SERVICOS,reparo;rede;distribuicao,0.83

SUSTENTABILIDADE,esg;governanca;responsabilidade,1.00
SUSTENTABILIDADE,carbono;emissao;reducao,0.98
SUSTENTABILIDADE,compromisso;sustentabilidade;futuro,0.9
SUSTENTABILIDADE,sustentabilidade;projeto;ambiental,0.85
SUSTENTABILIDADE,gestao;sustentavel;recurso,0.8
SUSTENTABILIDADE,desenvolvimento;sustentavel;acao,0.75
SUSTENTABILIDADE,reducao;impacto;ambiental,0.7


