"BFE","The Base Filtering Engine (BFE) is a service that manages firewall and Internet Protocol security (IPsec) policies and implements user mode filtering. Stopping or disabling the BFE service will significantly reduce the security of the system. It will also result in unpredictable behavior in IPsec management and firewall applications."
"bindflt","@%systemroot%\system32\drivers\bindflt.sys,-101"
"BITS","Transfers files in the background using idle network bandwidth. If the service is disabled, then any applications that depend on BITS, such as Windows Update or MSN Explorer, will be unable to automatically download programs and other information."
"bowser","@%systemroot%\system32\wkssvc.dll,-2000"
"brave","Mantém o seu software do Brave atualizado. Se este serviço for desativado ou interrompido, o seu software do Brave não será mantido atualizado, o que significa que vulnerabilidades que poderão surgir na segurança não serão reparadas e recursos poderão não funcionar. Este serviço é desinstalado automaticamente quando não está sendo usado por nenhum software do Brave."
"BraveElevationService","Provides elevated privileges for Brave."
"bravem","Mantém o seu software do Brave atualizado. Se este serviço for desativado ou interrompido, o seu software do Brave não será mantido atualizado, o que significa que vulnerabilidades que poderão surgir na segurança não serão reparadas e recursos poderão não funcionar. Este serviço é desinstalado automaticamente quando não está sendo usado por nenhum software do Brave."
"BrokerInfrastructure","Windows infrastructure service that controls which background tasks can run on the system."
"BTAGService","Service supporting the audio gateway role of the Bluetooth Handsfree Profile."
"buttonconverter",""
"CAD",""
"camsvc","Provides facilities for managing UWP apps access to app capabilities as well as checking an app's access to specific app capabilities"
"CaptureService","@%SystemRoot%\system32\CaptureService.dll,-101"
"CaptureService_33233","Enables optional screen capture functionality for applications that call the Windows.Graphics.Capture API."
"cbdhsvc","@%SystemRoot%\system32\cbdhsvc.dll,-101"
"cbdhsvc_33233","This user service is used for Clipboard scenarios"
"CDPSvc","This service is used for Connected Devices Platform scenarios"
"CertPropSvc","Copies user certificates and root certificates from smart cards into the current user's certificate store, detects when a smart card is inserted into a smart card reader, and, if needed, installs the smart card Plug and Play minidriver."
"cht4vbd",""
"circlass",""
"ClipSVC","Provides infrastructure support for the Microsoft Store. This service is started on demand and if disabled applications bought using Windows Store will not behave correctly."
"CompositeBus",""
"COMSysApp","Manages the configuration and tracking of Component Object Model (COM)+-based components. If the service is stopped, most COM+-based components will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start."
"condrv",""
"ConsentUxUserSvc","@%SystemRoot%\system32\ConsentUxClient.dll,-101"
"ConsentUxUserSvc_33233","Allows ConnectUX and PC Settings to Connect and Pair with WiFi displays and Bluetooth devices."
"CoreMessagingRegistrar","Manages communication between system components."
"cphs","Intel(R) Content Protection HECI Service - enables communication with the Content Protection FW"
"cplspcon","Intel(R) Content Protection HDCP Service - enables communication with Content Protection HDCP HW"
"CredentialEnrollmentManagerUserSvc","@%SystemRoot%\system32\CredentialEnrollmentManager.exe,-101"
"CredentialEnrollmentManagerUserSvc_33233","Credential Enrollment Manager"
"CryptSvc","Provides three management services: Catalog Database Service, which confirms the signatures of Windows files and allows new programs to be installed; Protected Root Service, which adds and removes Trusted Root Certification Authority certificates from this computer; and Automatic Root Certificate Update Service, which retrieves root certificates from Windows Update and enable scenarios such as SSL. If this service is stopped, these management services will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start."
"CscService","The Offline Files service performs maintenance activities on the Offline Files cache, responds to user logon and logoff events, implements the internals of the public API, and dispatches interesting events to those interested in Offline Files activities and changes in cache state."
"DcomLaunch","The DCOMLAUNCH service launches COM and DCOM servers in response to object activation requests. If this service is stopped or disabled, programs using COM or DCOM will not function properly. It is strongly recommended that you have the DCOMLAUNCH service running."
"defragsvc","Helps the computer run more efficiently by optimizing files on storage drives."
"DeviceAssociationBrokerSvc","@%SystemRoot%\system32\deviceaccess.dll,-108"
"DeviceAssociationBrokerSvc_33233","Enables apps to pair devices"
"DeviceAssociationService","Enables pairing between the system and wired or wireless devices."
"DeviceInstall","Enables a computer to recognize and adapt to hardware changes with little or no user input. Stopping or disabling this service will result in system instability."
"DevicePickerUserSvc","@%SystemRoot%\system32\Windows.Devices.Picker.dll,-1007"
"DevicePickerUserSvc_33233","This user service is used for managing the Miracast, DLNA, and DIAL UI"
"DevQueryBroker","Enables apps to discover devices with a backgroud task"
"Dhcp","Registers and updates IP addresses and DNS records for this computer. If this service is stopped, this computer will not receive dynamic IP addresses and DNS updates. If this service is disabled, any services that explicitly depend on it will fail to start."
"diagnosticshub.standardcollector.service","Diagnostics Hub Standard Collector Service. When running, this service collects real time ETW events and processes them."
"diagsvc","Executes diagnostic actions for troubleshooting support"
"DispBrokerDesktopSvc","Manages the connection and configuration of local and remote displays"
"DisplayEnhancementService","A service for managing display enhancement such as brightness control."
"DmEnrollmentSvc","Performs Device Enrollment Activities for Device Management"
"dmvsc",""
"dmwappushservice","Routes Wireless Application Protocol (WAP) Push messages received by the device and synchronizes Device Management sessions"
"Dnscache","The DNS Client service (dnscache) caches Domain Name System (DNS) names and registers the full computer name for this computer. If the service is stopped, DNS names will continue to be resolved. However, the results of DNS name queries will not be cached and the computer's name will not be registered. If the service is disabled, any services that explicitly depend on it will fail to start."
"dot3svc","The Wired AutoConfig (DOT3SVC) service is responsible for performing IEEE 802.1X authentication on Ethernet interfaces. If your current wired network deployment enforces 802.1X authentication, the DOT3SVC service should be configured to run for establishing Layer 2 connectivity and/or providing access to network resources. Wired networks that do not enforce 802.1X authentication are unaffected by the DOT3SVC service."
"DPS","The Diagnostic Policy Service enables problem detection, troubleshooting and resolution for Windows components.  If this service is stopped, diagnostics will no longer function."
"drmkaud",""
"DsmSvc","Enables the detection, download and installation of device-related software. If this service is disabled, devices may be configured with outdated software, and may not work correctly."
"DsSvc","Provides data brokering between applications."
"Eaphost","The Extensible Authentication Protocol (EAP) service provides network authentication in such scenarios as 802.1x wired and wireless, VPN, and Network Access Protection (NAP).  EAP also provides application programming interfaces (APIs) that are used by network access clients, including wireless and VPN clients, during the authentication process.  If you disable this service, this computer is prevented from accessing networks that require EAP authentication."
"EFS","Provides the core file encryption technology used to store encrypted files on NTFS file system volumes. If this service is stopped or disabled, applications will be unable to access encrypted files."
"embeddedmode","The Embedded Mode service enables scenarios related to Background Applications.  Disabling this service will prevent Background Applications from being activated."
"EntAppSvc","Enables enterprise application management."
"ErrDev",""
"EventLog","This service manages events and event logs. It supports logging events, querying events, subscribing to events, archiving event logs, and managing event metadata. It can display events in both XML and plain text format. Stopping this service may compromise security and reliability of the system."
"EventSystem","Supports System Event Notification Service (SENS), which provides automatic distribution of events to subscribing Component Object Model (COM) components. If the service is stopped, SENS will close and will not be able to provide logon and logoff notifications. If this service is disabled, any services that explicitly depend on it will fail to start."
"exfat","exFAT File System Driver"
"fastfat","Note - dependance on CDROM.SYS only if required to read/write DVD-RAM media (which appears as CD class device). (Core) (All pieces)"
"fdPHost","The FDPHOST service hosts the Function Discovery (FD) network discovery providers. These FD providers supply network discovery services for the Simple Services Discovery Protocol (SSDP) and Web Services – Discovery (WS-D) protocol. Stopping or disabling the FDPHOST service will disable network discovery for these protocols when using FD. When this service is unavailable, network services using FD and relying on these discovery protocols will be unable to find network devices or resources."
"FDResPub","Publishes this computer and resources attached to this computer so they can be discovered over the network.  If this service is stopped, network resources will no longer be published and they will not be discovered by other computers on the network."
"fhsvc","Protects user files from accidental loss by copying them to a backup location"
"Filetrace","@%SystemRoot%\system32\drivers\filetrace.sys,-10000"
"FontCache","Optimizes performance of applications by caching commonly used font data. Applications will start this service if it is not already running. It can be disabled, though doing so will degrade application performance."
"FsDepends","@%SystemRoot%\system32\drivers\fsdepends.sys,-10000"
"gencounter",""
"genericusbfn",""
"GPIOClx0101",""
"gpsvc","The service is responsible for applying settings configured by administrators for the computer and users through the Group Policy component. If the service is disabled, the settings will not be applied and applications and components will not be manageable through Group Policy. Any components or applications that depend on the Group Policy component might not be functional if the service is disabled."
"GraphicsPerfSvc","Graphics performance monitor service"
"HdAudAddService",""
"HDAudBus",""
"HidBatt",""
"HidBth",""
"hidi2c",""
"hidinterrupt",""
"HidIr",""
"hidserv","Activates and maintains the use of hot buttons on keyboards, remote controls, and other multimedia devices. It is recommended that you keep this service running."
"hidspi",""
"HidUsb",""
"HTTP","@%SystemRoot%\system32\drivers\http.sys,-2"
"hvservice","@%SystemRoot%\system32\drivers\hvservice.sys,-17"
"HwNClx0101",""
"hyperkbd",""
"HyperVideo",""
"i8042prt",""
"iagpio",""
"iai2c",""
"iaLPSS2i_GPIO2",""
"iaLPSS2i_GPIO2_BXT_P",""
"iaLPSS2i_GPIO2_CNL",""
"iaLPSS2i_GPIO2_GLK",""
"iaLPSS2i_I2C",""
"iaLPSS2i_I2C_BXT_P",""
"iaLPSS2i_I2C_CNL",""
"iaLPSS2i_I2C_GLK",""
"iaLPSSi_GPIO",""
"iaLPSSi_I2C",""
"ibbus",""
"igccservice","Service for Intel(R) Graphics Command Center"
"igfx",""
"igfxCUIService2.0.0.0","Service for Intel(R) HD Graphics Control Panel"
"IKEEXT","The IKEEXT service hosts the Internet Key Exchange (IKE) and Authenticated Internet Protocol (AuthIP) keying modules. These keying modules are used for authentication and key exchange in Internet Protocol security (IPsec). Stopping or disabling the IKEEXT service will disable IKE and AuthIP key exchange with peer computers. IPsec is typically configured to use IKE or AuthIP; therefore, stopping or disabling the IKEEXT service might result in an IPsec failure and might compromise the security of the system. It is strongly recommended that you have the IKEEXT service running."
"IndirectKmd","@%SystemRoot%\system32\drivers\IndirectKmd.sys,-101"
"IntcDAud",""
"Intel(R) TPM Provisioning Service","Version: 1.71.99.0"
"intelpmax",""
"intelppm",""
"IpFilterDriver","@%systemroot%\system32\mprmsg.dll,-32013"
"iphlpsvc","Provides tunnel connectivity using IPv6 transition technologies (6to4, ISATAP, Port Proxy, and Teredo), and IP-HTTPS. If this service is stopped, the computer will not have the enhanced connectivity benefits that these technologies offer."
"IPMIDRV",""
"IPNAT",""
"IPT",""
"IpxlatCfgSvc","Configures and enables translation from v4 to v6 and vice versa"
"iScsiPrt",""
"jhi_service","Intel(R) Dynamic Application Loader Host Interface Service - Allows applications to access the local Intel (R) DAL"
"kbdclass",""
"kbdhid",""
"kbldfltr",""
"kdnic",""
"KeyIso","The CNG key isolation service is hosted in the LSA process. The service provides key process isolation to private keys and associated cryptographic operations as required by the Common Criteria. The service stores and uses long-lived keys in a secure process complying with Common Criteria requirements."
"ksthunk",""
"KtmRm","Coordinates transactions between the Distributed Transaction Coordinator (MSDTC) and the Kernel Transaction Manager (KTM). If it is not needed, it is recommended that this service remain stopped. If it is needed, both MSDTC and KTM will start this service automatically. If this service is disabled, any MSDTC transaction interacting with a Kernel Resource Manager will fail and any services that explicitly depend on it will fail to start."
"LanmanServer","Supports file, print, and named-pipe sharing over the network for this computer. If this service is stopped, these functions will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start."
"LanmanWorkstation","Creates and maintains client network connections to remote servers using the SMB protocol. If this service is stopped, these connections will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start."
"lltdio","@%SystemRoot%\system32\lltdres.dll,-6"
"lltdsvc","Creates a Network Map, consisting of PC and device topology (connectivity) information, and metadata describing each PC and device.  If this service is disabled, the Network Map will not function properly."
"LSM","@%windir%\system32\lsm.dll,-1002"
"luafv","@%systemroot%\system32\drivers\luafv.sys,-101"
"LxpSvc","Provides infrastructure support for deploying and configuring localized Windows resources. This service is started on demand and, if disabled, additional Windows languages will not be deployed to the system, and Windows may not function properly."
"mausbhost",""
"mausbip",""
"MbbCx",""
"MEIx64",""
"MessagingService","@%SystemRoot%\system32\MessagingService.dll,-101"
"MessagingService_33233","Service supporting text messaging and related functionality."
"MicrosoftEdgeElevationService","Provides elevated privileges for Microsoft Edge."
"Microsoft_Bluetooth_AvrcpTransport",""
"mlx4_bus",""
"MMCSS","@%systemroot%\system32\drivers\mmcss.sys,-101"
"Modem",""
"monitor",""
"mouclass",""
"mouhid",""
"MRxDAV","@%systemroot%\system32\webclnt.dll,-105"
"mrxsmb","@%systemroot%\system32\wkssvc.dll,-1003"
"mrxsmb20","@%systemroot%\system32\wkssvc.dll,-1007"
"MsBridge","@%SystemRoot%\system32\bridgeres.dll,-1"
"MSDTC","Coordinates transactions that span multiple resource managers, such as databases, message queues, and file systems. If this service is stopped, these transactions will fail. If this service is disabled, any services that explicitly depend on it will fail to start."
"msgpiowin32",""
"mshidkmdf","@%SystemRoot%\system32\drivers\mshidkmdf.sys,-101"
"mshidumdf","@%SystemRoot%\system32\drivers\mshidumdf.sys,-101"
"MSiSCSI","Manages Internet SCSI (iSCSI) sessions from this computer to remote iSCSI target devices. If this service is stopped, this computer will not be able to login or access iSCSI targets. If this service is disabled, any services that explicitly depend on it will fail to start."
"msiserver","Adds, modifies, and removes applications provided as a Windows Installer (*.msi, *.msp) package. If this service is disabled, any services that explicitly depend on it will fail to start."
"MSKSSRV",""
"MSPCLOCK",""
"MSPQM",""
"MsQuic","@%SystemRoot%\system32\drivers\msquic.sys,-2"
"MsRPC",""
"MSTEE",""
"MTConfig",""
"NaturalAuthentication","Signal aggregator service, that evaluates signals based on time, network, geolocation, bluetooth and cdf factors. Supported features are Device Unlock, Dynamic Lock and Dynamo MDM policies"
"NcaSvc","Provides DirectAccess status notification for UI components"
"NcdAutoSetup","Network Connected Devices Auto-Setup service monitors and installs qualified devices that connect to a qualified network. Stopping or disabling this service will prevent Windows from discovering and installing qualified network connected devices automatically. Users can still manually add network connected devices to a PC through the user interface."
"ndfltr",""
"NdisImPlatform","@%SystemRoot%\System32\drivers\ndisimplatform.sys,-501"
"Ndisuio",""
"NdisVirtualBus",""
"ndiswanlegacy","@%systemroot%\system32\mprmsg.dll,-32014"
"NDKPing",""
"ndproxy","@%SystemRoot%\system32\drivers\ndproxy.sys,-6000"
"NetAdapterCx",""
"Netman","Manages objects in the Network and Dial-Up Connections folder, in which you can view both local area network and remote connections."
"netprofm","Identifies the networks to which the computer has connected, collects and stores properties for these networks, and notifies applications when these properties change."
"NetSetupSvc","@%SystemRoot%\system32\NetSetupSvc.dll,-4"
"netvsc",""
"NgcCtnrSvc","Manages local user identity keys used to authenticate user to identity providers as well as TPM virtual smart cards. If this service is disabled, local user identity keys and TPM virtual smart cards will not be accessible. It is recommended that you do not reconfigure this service."
"NgcSvc","Provides process isolation for cryptographic keys used to authenticate to a user’s associated identity providers. If this service is disabled, all uses and management of these keys will not be available, which includes machine logon and single-sign on for apps and websites. This service starts and stops automatically. It is recommended that you do not reconfigure this service."
"NlaSvc","Collects and stores configuration information for the network and notifies programs when this information is modified. If this service is stopped, configuration information might be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start."
"nsi","This service delivers network notifications (e.g. interface addition/deleting etc) to user mode clients. Stopping this service will cause loss of network connectivity. If this service is disabled, any other services that explicitly depend on this service will fail to start."
"Ntfs",""
"p2pimsvc","Provides identity services for the Peer Name Resolution Protocol (PNRP) and Peer-to-Peer Grouping services.  If disabled, the Peer Name Resolution Protocol (PNRP) and Peer-to-Peer Grouping services may not function, and some applications, such as HomeGroup and Remote Assistance, may not function correctly."
"p2psvc","Enables multi-party communication using Peer-to-Peer Grouping.  If disabled, some applications, such as HomeGroup, may not function."
"Parport",""
"PcaSvc","This service provides support for the Program Compatibility Assistant (PCA).  PCA monitors programs installed and run by the user and detects known compatibility problems. If this service is stopped, PCA will not function properly."
"PEAUTH",""
"PeerDistSvc","This service caches network content from peers on the local subnet."
"perceptionsimulation","Enables spatial perception simulation, virtual camera management and spatial input simulation."
"PerfHost","Enables remote users and 64-bit processes to query performance counters provided by 32-bit DLLs. If this service is stopped, only local users and 32-bit processes will be able to query performance counters provided by 32-bit DLLs."
"PktMon",""
"pla","Performance Logs and Alerts Collects performance data from local or remote computers based on preconfigured schedule parameters, then writes the data to a log or triggers an alert. If this service is stopped, performance information will not be collected. If this service is disabled, any services that explicitly depend on it will fail to start."
"PlugPlay","Enables a computer to recognize and adapt to hardware changes with little or no user input. Stopping or disabling this service will result in system instability."
"PNPMEM",""
"PNRPAutoReg","This service publishes a machine name using the Peer Name Resolution Protocol.  Configuration is managed via the netsh context 'p2p pnrp peer' "
"PNRPsvc","Enables serverless peer name resolution over the Internet using the Peer Name Resolution Protocol (PNRP). If disabled, some peer-to-peer and collaborative applications, such as Remote Assistance, may not function."
"PolicyAgent","Internet Protocol security (IPsec) supports network-level peer authentication, data origin authentication, data integrity, data confidentiality (encryption), and replay protection.  This service enforces IPsec policies created through the IP Security Policies snap-in or the command-line tool ""netsh ipsec"".  If you stop this service, you may experience network connectivity issues if your policy requires that connections use IPsec.  Also,remote management of Windows Defender Firewall is not available when this service is stopped."
"portcfg",""
"Power","Manages power policy and power policy notification delivery."
"PptpMiniport","@%systemroot%\system32\mprmsg.dll,-32006"
"PrintWorkflowUserSvc","@%SystemRoot%\system32\PrintWorkflowService.dll,-101"
"PrintWorkflowUserSvc_33233","Provides support for Print Workflow applications. If you turn off this service, you may not be able to print successfully."
"Processor",""
"ProfSvc","This service is responsible for loading and unloading user profiles. If this service is stopped or disabled, users will no longer be able to successfully sign in or sign out, apps might have problems getting to users' data, and components registered to receive profile event notifications won't receive them."
"PushToInstall","Provides infrastructure support for the Microsoft Store.  This service is started automatically and if disabled then remote installations will not function properly."
"QWAVEdrv","@%SystemRoot%\system32\drivers\qwavedrv.sys,-2"
"RasAcd","Remote Access Auto Connection Driver"
"RasAgileVpn","@netavpna.inf,%Svc-Mp-AgileVpn-DispName%;WAN Miniport (IKEv2)"
"RasAuto","Creates a connection to a remote network whenever a program references a remote DNS or NetBIOS name or address."
"Rasl2tp","@%systemroot%\system32\mprmsg.dll,-32005"
"RasMan","Manages dial-up and virtual private network (VPN) connections from this computer to the Internet or other remote networks. If this service is disabled, any services that explicitly depend on it will fail to start."
"RasPppoe","@%systemroot%\system32\mprmsg.dll,-32007"
"RasSstp","@%systemroot%\system32\sstpsvc.dll,-202"
"rdpbus",""
"RDPDR","@%SystemRoot%\System32\DRIVERS\rdpdr.sys,-101"
"RdpVideoMiniport",""
"ReFS",""
"ReFSv1",""
"RFCOMM","@tdibth.inf,%RFCOMM.DisplayName%;Bluetooth Device (RFCOMM Protocol TDI)"
"rhproxy",""
"RpcEptMapper","Resolves RPC interfaces identifiers to transport endpoints. If this service is stopped or disabled, programs using Remote Procedure Call (RPC) services will not function properly."
"RpcLocator","In Windows 2003 and earlier versions of Windows, the Remote Procedure Call (RPC) Locator service manages the RPC name service database. In Windows Vista and later versions of Windows, this service does not provide any functionality and is present for application compatibility."
"RpcSs","The RPCSS service is the Service Control Manager for COM and DCOM servers. It performs object activations requests, object exporter resolutions and distributed garbage collection for COM and DCOM servers. If this service is stopped or disabled, programs using COM or DCOM will not function properly. It is strongly recommended that you have the RPCSS service running."
"rspndr","@%SystemRoot%\system32\lltdres.dll,-5"
"rt640x64",""
"s3cap",""
"SamSs","The startup of this service signals other services that the Security Accounts Manager (SAM) is ready to accept requests.  Disabling this service will prevent other services in the system from being notified when the SAM is ready, which may in turn cause those services to fail to start correctly. This service should not be disabled."
"SCardSvr","Manages access to smart cards read by this computer. If this service is stopped, this computer will be unable to read smart cards. If this service is disabled, any services that explicitly depend on it will fail to start."
"ScDeviceEnum","Creates software device nodes for all smart card readers accessible to a given session. If this service is disabled, WinRT APIs will not be able to enumerate smart card readers."
"scfilter","@%SystemRoot%\System32\drivers\scfilter.sys,-12"
"Schedule","Enables a user to configure and schedule automated tasks on this computer. The service also hosts multiple Windows system-critical tasks. If this service is stopped or disabled, these tasks will not be run at their scheduled times. If this service is disabled, any services that explicitly depend on it will fail to start."
"SCPolicySvc","Allows the system to be configured to lock the user desktop upon smart card removal."
"sdbus",""
"SDFRd",""
"SDRSVC","Provides Windows Backup and Restore capabilities."
"sdstor",""
"seclogon","Enables starting processes under alternate credentials. If this service is stopped, this type of logon access will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start."
"SecurityHealthService","Windows Security Service handles unified device protection and health information"
"SENS","Monitors system events and notifies subscribers to COM+ Event System of these events."
"Sense","Windows Defender Advanced Threat Protection service helps protect against advanced threats by monitoring and reporting security events that happen on the computer."
"SerCx",""
"SerCx2",""
"Serenum",""
"Serial",""
"sermouse",""
"SessionEnv","Remote Desktop Configuration service (RDCS) is responsible for all Remote Desktop Services and Remote Desktop related configuration and session maintenance activities that require SYSTEM context. These include per-session temporary folders, RD themes, and RD certificates."
"sfloppy",""
"SgrmBroker","Monitors and attests to the integrity of the Windows platform."
"SharedRealitySvc","This service is used for Spatial Perception scenarios"
"ShellHWDetection","Provides notifications for AutoPlay hardware events."
"smbdirect",""
"smphost","Host service for the Microsoft Storage Spaces management provider. If this service is stopped or disabled, Storage Spaces cannot be managed."
"SNMPTRAP","Receives trap messages generated by local or remote Simple Network Management Protocol (SNMP) agents and forwards the messages to SNMP management programs running on this computer. If this service is stopped, SNMP-based programs on this computer will not receive SNMP trap messages. If this service is disabled, any services that explicitly depend on it will fail to start."
"spaceparser","@%systemroot%\system32\drivers\spaceparser.sys,-1000"
"SpbCx",""
"spectrum","Enables spatial perception, spatial input, and holographic rendering."
"Spooler","This service spools print jobs and handles interaction with the printer.  If you turn off this service, you won’t be able to print or see your printers."
"sppsvc","Enables the download, installation and enforcement of digital licenses for Windows and Windows applications. If the service is disabled, the operating system and licensed applications may run in a notification mode. It is strongly recommended that you not disable the Software Protection service."
"srv2","@%systemroot%\system32\srvsvc.dll,-105"
"srvnet",""
"StateRepository","Provides required infrastructure support for the application model."
"stisvc","Provides image acquisition services for scanners and cameras"
"storqosflt","@%SystemRoot%\System32\drivers\storqosflt.sys,-102"
"StorSvc","Provides enabling services for storage settings and external storage expansion"
"svsvc","Verifies potential file system corruptions."
"swenum",""
"swprv","Manages software-based volume shadow copies taken by the Volume Shadow Copy service. If this service is stopped, software-based volume shadow copies cannot be managed. If this service is disabled, any services that explicitly depend on it will fail to start."
"Synth3dVsc",""
"SystemEventsBroker","Coordinates execution of background work for WinRT application. If this service is stopped or disabled, then background work might not be triggered."
"TabletInputService","Enables Touch Keyboard and Handwriting Panel pen and ink functionality"
"TapiSrv","Provides Telephony API (TAPI) support for programs that control telephony devices on the local computer and, through the LAN, on servers that are also running the service."
"Tcpip6","@todo.dll,-100;Microsoft IPv6 Protocol Driver"
"tcpipreg","Provides compatibility for legacy applications which interact with TCP/IP through the registry. If this service is stopped, certain applications may have impaired functionality."
"terminpt",""
"TermService","Allows users to connect interactively to a remote computer. Remote Desktop and Remote Desktop Session Host Server depend on this service.  To prevent remote use of this computer, clear the checkboxes on the Remote tab of the System properties control panel item."
"Themes","Provides user experience theme management."
"TieringEngineService","Optimizes the placement of data in storage tiers on all tiered storage spaces in the system."
"TimeBrokerSvc","Coordinates execution of background work for WinRT application. If this service is stopped or disabled, then background work might not be triggered."
"TokenBroker","This service is used by Web Account Manager to provide single-sign-on to apps and services."
"TPM","@tpm.inf,%TPMDesc%;TPM Driver"
"TrkWks","Maintains links between NTFS files within a computer or across computers in a network."
"TroubleshootingSvc","Enables automatic mitigation for known problems by applying recommended troubleshooting. If stopped, your device will not get recommended troubleshooting for problems on your device."
"TrustedInstaller","Enables installation, modification, and removal of Windows updates and optional components. If this service is disabled, install or uninstall of Windows updates might fail for this computer."
"TsUsbFlt","@%SystemRoot%\system32\drivers\tsusbflt.sys,-1000"
"TsUsbGD",""
"tsusbhub",""
"tunnel",""
"UASPStor",""
"UcmCx0101",""
"UcmTcpciCx0101",""
"UcmUcsiAcpiClient",""
"UcmUcsiCx0101",""
"Ucx01000",""
"UdeCx",""
"UdkUserSvc","@%SystemRoot%\system32\windowsudk.shellcommon.dll,-101"
"UdkUserSvc_33233","Shell components service"
"UEFI",""
"Ufx01000",""
"UfxChipidea",""
"ufxsynopsys",""
"umbus",""
"UmPass",""
"UmRdpService","Allows the redirection of Printers/Drives/Ports for RDP connections"
"UnistoreSvc","@%SystemRoot%\system32\UserDataAccessRes.dll,-10002"
"UnistoreSvc_33233","Handles storage of structured user data, including contact info, calendars, messages, and other content. If you stop or disable this service, apps that use this data might not work correctly."
"upnphost","Allows UPnP devices to be hosted on this computer. If this service is stopped, any hosted UPnP devices will stop functioning and no additional hosted devices can be added. If this service is disabled, any services that explicitly depend on it will fail to start."
"UrsChipidea",""
"UrsCx01000",""
"UrsSynopsys",""
"usbaudio",""
"usbaudio2",""
"usbccgp",""
"usbcir",""
"usbehci",""
"usbhub",""
"USBHUB3",""
"usbohci",""
"usbprint",""
"usbser",""
"USBSTOR",""
"usbuhci",""
"usbvideo",""
"USBXHCI",""
"UserDataSvc","@%SystemRoot%\system32\UserDataAccessRes.dll,-14000"
"UserDataSvc_33233","Provides apps access to structured user data, including contact info, calendars, messages, and other content. If you stop or disable this service, apps that use this data might not work correctly."
"UserManager","User Manager provides the runtime components required for multi-user interaction.  If this service is stopped, some applications may not operate correctly."
"UsoSvc","Manages Windows Updates. If stopped, your devices will not be able to download and install the latest updates."
"VacSvc","Hosts spatial analysis for Mixed Reality audio simulation."
"VaultSvc","Provides secure storage and retrieval of credentials to users, applications and security service packages."
"vds","Provides management services for disks, volumes, file systems, and storage arrays."
"vhdmp",""
"vhf","@hidvhf.inf,%VhfDesc%;Kernel mode driver that implements the Virtual HID Framework (VHF)"
"VirtualRender",""
"VMBusHID",""
"vmgid",""
